IATA,ICAO,Airport name,Country,City,Information
DBP,,Debepare,Papua New Guinea,Debepare,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
DBQ,KDBQ,Dubuque Regional,United States of America,Dubuque,https://www.worlddata.info/america/usa/airports.php
DBR,VEDH,Darbhanga,India,Darbhanga,https://www.worlddata.info/asia/india/airports.php
DBS,,Dubois Mun,United States of America,Dubois,https://www.worlddata.info/america/usa/airports.php
DBT,HADT,Debre Tabor,Ethiopia,Debre Tabor,https://www.worlddata.info/africa/ethiopia/airports.php
DBV,LDDU,Dubrovnik Ruđer Bošković,Croatia,Dubrovnik,https://www.worlddata.info/europe/croatia/airports.php
DBY,YDAY,Dalby,Australia,,https://www.worlddata.info/oceania/australia/airports.php
DCA,KDCA,Ronald Reagan Washington National,United States of America,Washington,https://www.worlddata.info/america/usa/airports.php
DCF,TDCF,Canefield,Dominica,Canefield,https://www.worlddata.info/america/dominica/airports.php
DCK,,Dahl Creek,United States of America,Dahl Creek,https://www.worlddata.info/america/usa/airports.php
DCM,LFCK,Castres Mazamet,France,Castres,https://www.worlddata.info/europe/france/airports.php
DCN,YCIN,RAAF Base Curtin,Australia,Derby,https://www.worlddata.info/oceania/australia/airports.php
DCT,MYRD,Duncan Town,Bahamas,Duncan Town,https://www.worlddata.info/america/bahamas/airports.php
DCU,KDCU,Pryor Field Regional,United States of America,Decatur,https://www.worlddata.info/america/usa/airports.php
DCY,ZUDC,Daocheng Yading,China,Garzê (Daocheng),https://www.worlddata.info/asia/china/airports.php
DDC,KDDC,Dodge City Regional,United States of America,Dodge City,https://www.worlddata.info/america/usa/airports.php
DDD,VRMU,Dhaalu Atoll,Maldives,Kudahuvadhoo,https://www.worlddata.info/asia/maldives/airports.php
DDG,ZYDD,Dandong Langtou Intl,China,Dandong (Zhenxing),https://www.worlddata.info/asia/china/airports.php
DDM,,Dodoima,Papua New Guinea,,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
DDN,YDLT,Delta Downs,Australia,,https://www.worlddata.info/oceania/australia/airports.php
DDR,,Shigatse Tingri,China,Xigazê (Dingri),https://www.worlddata.info/asia/china/airports.php
DDU,,Dadu West,Pakistan,Dadu,https://www.worlddata.info/asia/pakistan/airports.php
DEA,OPDG,Dera Ghazi Khan,Pakistan,Dera Ghazi Khan,https://www.worlddata.info/asia/pakistan/airports.php
DEB,LHDC,Debrecen Intl,Hungary,Debrecen,https://www.worlddata.info/europe/hungary/airports.php
DEC,KDEC,Decatur,United States of America,Decatur,https://www.worlddata.info/america/usa/airports.php
DED,VIDN,Dehradun Jolly Grant,India,Dehradun (Jauligrant),https://www.worlddata.info/asia/india/airports.php
DEE,UHSM,Yuzhno-Kurilsk Mendeleyevo,Russia,Yuzhno-Kurilsk,https://www.worlddata.info/europe/russia/airports.php
DEF,OIAD,Dezful,Iran,Dezful,https://www.worlddata.info/asia/iran/airports.php
DEH,KDEH,Decorah Mun,United States of America,Decorah,https://www.worlddata.info/america/usa/airports.php
DEI,FSSD,Denis Island,Seychelles,Denis Island,https://www.worlddata.info/africa/seychelles/airports.php
DEJ,ZUDJ,Tongren Dejiang (Under Construction),China,Tongren,https://www.worlddata.info/asia/china/airports.php
DEL,VIDP,Indira Gandhi Intl,India,New Delhi,https://www.worlddata.info/asia/india/airports.php
DEM,HADD,Dembidollo,Ethiopia,Dembidollo,https://www.worlddata.info/africa/ethiopia/airports.php
DEN,KDEN,Denver Intl,United States of America,Denver,https://www.worlddata.info/america/usa/airports.php
DEP,VEDZ,Daporijo,India,Daporijo,https://www.worlddata.info/asia/india/airports.php
DER,,Derim,Papua New Guinea,Derim,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
DES,FSDR,Desroches,Seychelles,Desroches Island,https://www.worlddata.info/africa/seychelles/airports.php
DET,KDET,Coleman A. Young Mun,United States of America,Detroit,https://www.worlddata.info/america/usa/airports.php
DEX,,Nop Goliat Dekai,Indonesia,Dekai,https://www.worlddata.info/asia/indonesia/airports.php
DEZ,OSDZ,Deir ez-Zor,Syria,Deir ez-Zor,https://www.worlddata.info/asia/syria/airports.php
DFI,KDFI,Defiance Memorial,United States of America,Defiance,https://www.worlddata.info/america/usa/airports.php
DFP,YDDF,Drumduff,Australia,Palmer,https://www.worlddata.info/oceania/australia/airports.php
DFW,KDFW,Dallas Fort Worth Intl,United States of America,Dallas-Fort Worth,https://www.worlddata.info/america/usa/airports.php
DGA,,Dangriga,Belize,Dangriga,https://www.worlddata.info/america/belize/airports.php
DGD,YDGA,Dalgaranga Gold Mine,Australia,,https://www.worlddata.info/oceania/australia/airports.php
DGE,YMDG,Mudgee,Australia,Mudgee,https://www.worlddata.info/oceania/australia/airports.php
DGF,,Douglas Lake,Canada,Douglas Lake,https://www.worlddata.info/america/canada/airports.php
